upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
700465445643,SEW YOUR OWN DOLLS,,,,,,
24144524154,Rina and Dina 3D Foam Kit / Summer Scene,,,,,,
24144524444,CHANUKAH TISSUE ART,,,,,,
700465445667,Mosaic Foam Craft,,,,,,
24144524130,SPARKLY FOIL ART,,,,,,
