Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,#TO097,TL BLACK & WHITE GYMINI,TL BLACK & WHITE GYMINI,TL BLACK & WHITE GYMINI,TL BLACK & WHITE GYMINI,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007849,855075007849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TO025,SOOTHEN GROOVE MOBILE,SOOTHEN GROOVE MOBILE,SOOTHEN GROOVE MOBILE,SOOTHEN GROOVE MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007054,855075007054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TO061,SOOTHE N GROVE MOBIL,SOOTHE N GROVE MOBIL,SOOTHE N GROVE MOBIL,SOOTHE N GROVE MOBIL,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007405,855075007405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WA077FGO,Black & White 4-in-1 Here I Grow Mobile Activity Center,Black & White 4-in-1 Here I Grow Mobile Activity Center,Black & White 4-in-1 Here I Grow Mobile Activity Center,Black & White 4-in-1 Here I Grow Mobile Activity Center,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,810019060021,810019060021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4 IN 1 ACTIVITY CENTER,4 IN 1 ACTIVITY CENTER,4 IN 1 ACTIVITY CENTER,4 IN 1 ACTIVITY CENTER,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007481,855075007481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO115BOHO,TINY LOVE BOHO CHIC GYMINI,TINY LOVE BOHO CHIC GYMINI,TINY LOVE BOHO CHIC GYMINI,TINY LOVE BOHO CHIC GYMINI,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,810019060236,810019060236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TO053,FOREST MUSICAL STROLLER TOY,FOREST MUSICAL STROLLER TOY,FOREST MUSICAL STROLLER TOY,FOREST MUSICAL STROLLER TOY,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007207,855075007207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO0750700,Magical Tales Black & White Take Along Mobile,Magical Tales Black & White Take Along Mobile,Magical Tales Black & White Take Along Mobile,Magical Tales Black & White Take Along Mobile,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007566,855075007566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#00810,GYMINI SUPER DELUXE (ZOO),GYMINI SUPER DELUXE (ZOO),GYMINI SUPER DELUXE (ZOO),GYMINI SUPER DELUXE (ZOO),Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,7290108860351,7290108860351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,00467 (PINK COLOR),SOOTHE N GROOVE - PRINCESS MOBILE,SOOTHE N GROOVE - PRINCESS MOBILE,SOOTHE N GROOVE - PRINCESS MOBILE,SOOTHE N GROOVE - PRINCESS MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,735259004379,735259004379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WOODLAND ARCH,WOODLAND ARCH,WOODLAND ARCH,WOODLAND ARCH,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,735259004683,735259004683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#00472,PACK AND GO MINI MOBILE,PACK AND GO MINI MOBILE,PACK AND GO MINI MOBILE,PACK AND GO MINI MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,735259004386,735259004386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO0240708,Tiny Love Meadow Days Sunny Stroll Arch,Tiny Love Meadow Days Sunny Stroll Arch,Tiny Love Meadow Days Sunny Stroll Arch,Tiny Love Meadow Days Sunny Stroll Arch,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007788,855075007788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO0530701,Tiny Love Into the Forest Musical Nature Stroll,Tiny Love Into the Forest Musical Nature Stroll,Tiny Love Into the Forest Musical Nature Stroll,Tiny Love Into the Forest Musical Nature Stroll,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007900,855075007900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO111,wonder ruddies,wonder ruddies,wonder ruddies,wonder ruddies,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,810019060182,810019060182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tiny love boho chic 2 in 1,tiny love boho chic 2 in 1,tiny love boho chic 2 in 1,tiny love boho chic 2 in 1,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,810019060229,810019060229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T01200700,Musical Nature Stroll Arch,Musical Nature Stroll Arch,Musical Nature Stroll Arch,Musical Nature Stroll Arch,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,810019060311,810019060311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
