SKU*,Picture,SKU*,MP Number*,UPC Code*,Assorted UPC,Name(En)*,Category*,Sub Category,Brand,Description,Case Length(ft),Case Width(ft),Case Height(ft),Item Length(ft),Item Width(ft),Item Height(ft),Item Weight (lb),Age Group
64103,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/CapstoneStarToddlerHelmet1.jpg?v=1714149572,64103,64103,016751641034,,CAPSTONE TODDLER HELMET STARS,Helmets,,Capstone,"HELMET SIZING
Recommended Age: 1 - 3
Recommended Size: 19"" - 20.5""
Little Stars, Big Protection!
The Capstone Star Toddler Multi-Sport Helmet is designed to keep your youngest riders safe, comfortable, and smiling. A full-coverage shell and durable yet lightweight padding help protect growing heads, while six open-air cooling vents provide gentle airflow for all-day comfort. The adjustable retention dial allows for a snug, secure fit as your child grows, and the anti-pinch chin buckle makes strapping in quick and comfortable. With cheerful star graphics and dependable protection, this helmet helps little riders shine on every adventure.

KEY FEATURES:
Full Coverage Shell
Adjustable Straps
Anti-Pinch Chin Buckle
Easy-to-Use Retention Dial",,,,13,10,9.3,1.8,1 - 3 Years
64157,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/CapstoneIceCreamChildHelmet1.jpg?v=1714149353,64157,64157,016751641577,,,,,Capstone,"HELMET SIZING
Recommended Age: 5+
Recommended Size: 21.5"" - 22.5""
Scoops of Fun, Sprinkles of Safety!
The Capstone Ice Cream Child Multi-Sport Helmet makes staying safe look extra sweet. Designed with a durable full-coverage shell and lightweight, shock-absorbing inner padding, this helmet helps protect little riders during every adventure. Ten open-air cooling vents keep heads cool, while the integrated nylon retention strap and adjustable retention dial provide a secure, comfortable fit as kids grow. With cheerful ice cream graphics and all-day comfort, this helmet is the perfect topping for bikes, scooters, and outdoor fun. 

KEY FEATURES:
Full Coverage Shell
Integrated Nylon Retention Strap
Easy-to-Use Buckle System
Easy-to-Use Retention Dial",,,,15.3,11.3,10.3,2.2,5+ Years
64415,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/64415CapstoneYouthHelmetBluP.jpg?v=1749814338,64415,64415,016751644158,,CAPSTONE YOUTH Y20 NAVY BLUE HELMET,Helmets,,Capstone,"HELMET SIZING
Recommended Age: 8+
Recommended Size: 22"" - 23.5""
Coverage You Can Count On!
Designed for everyday rides and active adventures, the Capstone Youth Multi-Sport Helmet delivers dependable protection with all-day comfort. Open-air cooling vents help keep you cool as you ride, while the full-coverage shell adds confidence and security. An integrated nylon retention strap and adjustable retention dial provide a snug, personalized fit, and the built-in sun shield visor helps block glare on bright days. A reliable, versatile helmet built to keep you comfortable and protected wherever your ride takes you. 

KEY FEATURES:
Full Coverage Shell
Integrated Nylon Retention Strap
Easy-to-Use Buckle System
Easy-to-Use Retention Dial
Sun Shield Visor",,,,15.5,11.5,10,1.75,8+ Years
64416,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/64416CapstoneHelmetLilacP.jpg?v=1770054656,64416,64416,016751644097,,CAPSTONE YOUTH Y20 LILAC HELMET,Helmets,,Capstone,"HELMET SIZING
Recommended Age: 8+
Recommended Size: 22"" - 23.5""
Coverage You Can Count On!
Designed for everyday rides and active adventures, the Capstone Youth Multi-Sport Helmet delivers dependable protection with all-day comfort. Open-air cooling vents help keep you cool as you ride, while the full-coverage shell adds confidence and security. An integrated nylon retention strap and adjustable retention dial provide a snug, personalized fit, and the built-in sun shield visor helps block glare on bright days. A reliable, versatile helmet built to keep you comfortable and protected wherever your ride takes you. 

KEY FEATURES:
Full Coverage Shell
Integrated Nylon Retention Strap
Easy-to-Use Buckle System
Easy-to-Use Retention Dial
Sun Shield Visor",,,,15.5,11.5,10,1.75,8+ Years
67316,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/CapstonePlasticAirPump.jpg?v=1714575103,67316,67316,016751673165,,CAPSTONE PLASTIC FLOOR PUMP,Pumps,,Capstone,"KEY FEATURES:
Material: Reinforced Plastic
Valve: Schrader / Presta with Thumb-Lock Lever
Pressure: 120 psi
Additional Features: Ball & Needle Storage",,,,23.3,16.3,4.5,1.8,N/A
67318,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/CapstoneSteelAirPump.jpg?v=1714575642,67318,67318,016751673189,,CAPSTONE STEEL AIR PUMP,Pumps,,Capstone,"KEY FEATURES:
Material: Steel
Valve: Schrader / Presta with Thumb-Lock Lever
Pressure: 160 psi
Additional Features: Patented Dual Head Design",,,,25.3,19.3,5.3,2.6,N/A
67223,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/CapstoneResettableCableLock.jpg?v=1714575208,67223,67223,016751672236,,CAPSTONE RESETTABLE LOCK-3ft. 8 X 1000MM,Locks,,Capstone,"KEY FEATURES:
Type of Lock: Combination
Length: 3 ft. (1000m)
Diameter: 8mm
Additional Features: Silicone Protective Coating",,,,9,5.8,4.5,0.15,N/A
67225,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/Capstone_RubberizedULock_Small_Studio.jpg?v=1726573995,67225,67225,016751672250,,CAPSTONE 10 U LOCK,Locks,,Capstone,"KEY FEATURES:
Type of Lock: Key Lock
Diameter: 12 mm
Additional Features: Silicone Protective Coating, Integrated Lock w/ 2 Keys,
& Hardened Steel Shackle",,,,8.8,6,7.3,1.05,N/A
67233,https://cdn.shopify.com/s/files/1/0611/8037/9293/products/capstone-u-lock-w-cable-keyscapstone-u-lock-w-cable-keys-943914.jpg?v=1702293622,67233,67233,016751672335,,CAPSTONE U-LOCK W/ KEYS & CABLE 4FT,Locks,,Capstone,"KEY FEATURES:
Type of Lock: Key Folding Lock
Length: 4 ft.
Diameter: 10 mm
Additional Features: Nylon Protective Coating & Hardened Steel Shackle",,,,9,7,10,2.75,N/A
67501,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/CapstoneAdjustableKickStand.jpg?v=1714658196,67501,67501,016751675015,,CAPSTONE ADJUSTABLE KICKSTAND 20 - 29,Kickstands,,Capstone,"KEY FEATURES:
Material: Lightweight Alloy that Won't Rust
Fits: 20"" - 28"" / 700c Bikes
Mounting Location: Central",,,,3.5,13.5,1.7,4.8,N/A
67514,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/CapstoneWaterBottleCage1.jpg?v=1714477595,67514,67514,016751675145,,CAPSTONE ALLOY BOTTLE CAGE (SILVER),Bottle Cages,,Capstone,"KEY FEATURES:
Material: Alloy
Durable Universal Design",,,,6.25,3,3.5,0.5,N/A
64751,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/64751CapstoneBlackCherryHelmet.jpg?v=1749812819,64751,64751,016751647517,,CAPSTONE Helmet ADULT-BLACK CHERRY,Helmets,,Capstone,"HELMET SIZING
Recommended Age: 14+
Recommended Size: 22"" - 24.5""
Ride Safely!
The Capstone Adult Helmet combines bright colors with reliable protection for active adults. A full-coverage shell helps keep riders protected, while 10 open-air cooling vents provide airflow to keep heads cool. The integrated nylon retention strap and adjustable retention dial create a secure and comfortable fit. 

KEY FEATURES:
Full Coverage Shell
Integrated Nylon Retention Strap
Easy-to-Use Buckle System
Easy-to-Use Retention Dial",,,,15.3,11.8,10.3,1.1,14+ Years
65016,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/CapstoneComfortRelievedSaddle1.jpg?v=1714417373,65016,65016,016751650166,,CAPSTONE MEMORY COMFORT SEAT RELIEVED,Seats,,Capstone,"KEY FEATURES:
Relived Center for Comfort
Memory Foam
Durable Steel Rails
Ideal for Comfort & Cruisers",,,,19.3,15.3,6.3,2.4,
65022,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/CapstoneComfortCruiserSaddle1.jpg?v=1714416853,65022,65022,016751650227,,CAPSTONE MEMORY COMFORT CRUISER SEAT,Seats,,Capstone,"KEY FEATURES:
Medium Comfortable Design
Spring Technology
Comfortable Memory Foam
Durable Steel Rails",,,,26.8,16,9,4,N/A
65231,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/65231BasketF.jpg?v=1736265431,65231,65231,016751652313,,CAPSTONE QR FOLDING BASKET,Baskets,,Capstone,"This easy-to-use basket mounts to the handlebar of your bike. It includes a convenient handle so you can bring your stuff on the go when not attached to your bike. The basket also folds for compact storage when not in use. 

SPECS     
Material: Steel    
Details: Folds for easy storage     
Details: Includes handle grab-and-go transport",,,,15.35,12.4,2.4,4.2,N/A
65332,https://cdn.shopify.com/s/files/1/0611/8037/9293/products/capstone-quick-release-rear-carriercapstone-quick-release-rear-carrier-643529.jpg?v=1702293586,65332,65332,016751653327,,CAPSTONE ALUM. REAR BIKE RACK,Bicycle Racks,,Capstone,"KEY FEATURES:
Material: Aluminum
Rear Rack Mounts Easily to Seat Post
Storage Bungees Included
Quick Release",,,,19,17,5,10,N/A
67511,https://cdn.shopify.com/s/files/1/0611/8037/9293/files/CapstoneWaterBottle1.jpg?v=1714477459,67511,67511,016751675114,,CAPSTONE 20oz. WATER BOTTLE,Water Bottles,,Capstone,"KEY FEATURES:
Material: Plastic
Capacity: 20 Oz. (591ml)
High Flow Nozzle",,,,15,4,8.8,0.015,N/A
