Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,KB-SAS-TZDK,Tzedakah Stick A Stud,Tzedakah Stick A Stud,Tzedakah Stick A Stud,Tzedakah Stick A Stud,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962248,760354962248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-04,Sukkos Foil Art Poster,Sukkos Foil Art Poster,Sukkos Foil Art Poster,Sukkos Foil Art Poster,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754006,789185754006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-JCB-MTZ,Mitzvos Jumbo Coloring Book,Mitzvos Jumbo Coloring Book,Mitzvos Jumbo Coloring Book,Mitzvos Jumbo Coloring Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754273,789185754273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-MMS-TRP,Middos Menchies Trips,Middos Menchies Trips,Middos Menchies Trips,Middos Menchies Trips,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754389,789185754389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-AB-CNS,Alef Beis Color N Stick,Alef Beis Color N Stick,Alef Beis Color N Stick,Alef Beis Color N Stick,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754655,789185754655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-10,Shivas Haminim Velvet Art Poster,Shivas Haminim Velvet Art Poster,Shivas Haminim Velvet Art Poster,Shivas Haminim Velvet Art Poster,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754754,789185754754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SEW-MDA,Modeh Ani Sew Fun,Modeh Ani Sew Fun,Modeh Ani Sew Fun,Modeh Ani Sew Fun,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962200,760354962200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-MTZ-MWA,Mitzvos Magic Water Poster,Mitzvos Magic Water Poster,Mitzvos Magic Water Poster,Mitzvos Magic Water Poster,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754075,789185754075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-COLB-SBS,Shabbos Coloring Book,Shabbos Coloring Book,Shabbos Coloring Book,Shabbos Coloring Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754150,789185754150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-JMB-03,Beis Hamikdash Jumbo Sticker Puzzle,Beis Hamikdash Jumbo Sticker Puzzle,Beis Hamikdash Jumbo Sticker Puzzle,Beis Hamikdash Jumbo Sticker Puzzle,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754259,789185754259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-JCB-BRCH,Brachos Jumbo Coloring book,Brachos Jumbo Coloring book,Brachos Jumbo Coloring book,Brachos Jumbo Coloring book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754365,789185754365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
