Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,1311,150 BRISLE BLOCKS,150 BRISLE BLOCKS,150 BRISLE BLOCKS,150 BRISLE BLOCKS,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,86138802549,86138802549,,,,,,,,,,,,,,,,,,,1.2464,0.9676,0.2296,,2.42,,,,,,,,,,,,,,,,,,
,1300,PLAY BUILD SUPERMARKET,PLAY BUILD SUPERMARKET,PLAY BUILD SUPERMARKET,PLAY BUILD SUPERMARKET,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,86138800187,86138800187,,,,,,,,,,,,,,,,,,,0.9184,0.656,0.41,,1.88,,,,,,,,,,,,,,,,,,
,1308,PLAY BUILD FIRE STATION,PLAY BUILD FIRE STATION,PLAY BUILD FIRE STATION,PLAY BUILD FIRE STATION,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,86138800262,86138800262,,,,,,,,,,,,,,,,,,,0.9184,0.656,0.41,,2.72,,,,,,,,,,,,,,,,,,
,1303,PLAY BUILD SCHOOL BUS,PLAY BUILD SCHOOL BUS,PLAY BUILD SCHOOL BUS,PLAY BUILD SCHOOL BUS,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,86138800217,86138800217,,,,,,,,,,,,,,,,,,,0.9184,0.656,0.41,,4,,,,,,,,,,,,,,,,,,
,3411,80 PC WOODEN TRAIN SET,80 PC WOODEN TRAIN SET,80 PC WOODEN TRAIN SET,80 PC WOODEN TRAIN SET,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138706099,786138706099,,,,,,,,,,,,,,,,,,,1.3448,0.9184,0.4756,,2.88,,,,,,,,,,,,,,,,,,
,1381,Toys4U Brick Store,Toys4U Brick Store,Toys4U Brick Store,Toys4U Brick Store,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138710607,786138710607,,,,,,,,,,,,,,,,,,,1.3448,0.9184,0.4756,,4.45,,,,,,,,,,,,,,,,,,
,#1331,SNAPZ 500 PIECE SET,SNAPZ 500 PIECE SET,SNAPZ 500 PIECE SET,SNAPZ 500 PIECE SET,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138701995,786138701995,,,,,,,,,,,,,,,,,,,1.3448,0.9184,0.4756,,5.45,,,,,,,,,,,,,,,,,,
,PB-1337,Ballistic Bucket,Ballistic Bucket,Ballistic Bucket,Ballistic Bucket,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138704675,786138704675,,,,,,,,,,,,,,,,,,,1.3448,0.9184,0.4756,,5,,,,,,,,,,,,,,,,,,
,M101,MEITIV Snapz 400pc,MEITIV Snapz 400pc,MEITIV Snapz 400pc,MEITIV Snapz 400pc,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,31144047149,31144047149,,,,,,,,,,,,,,,,,,,1.0496,0.82,0.1804,,1.12,,,,,,,,,,,,,,,,,,
,1311,Brisle Blox 256 pc,Brisle Blox 256 pc,Brisle Blox 256 pc,Brisle Blox 256 pc,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138701537,786138701537,,,,,,,,,,,,,,,,,,,0.4854,0.4854,0.4789,,1,,,,,,,,,,,,,,,,,,
,1358,Building Bricks Construction,Building Bricks Construction,Building Bricks Construction,Building Bricks Construction,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138708970,786138708970,,,,,,,,,,,,,,,,,,,1.3448,0.9184,0.4756,,5.31,,,,,,,,,,,,,,,,,,
,1359,Building Bricks Firestation,Building Bricks Firestation,Building Bricks Firestation,Building Bricks Firestation,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138708987,786138708987,,,,,,,,,,,,,,,,,,,1.3448,0.9184,0.4756,,4.33,,,,,,,,,,,,,,,,,,
,1360,Building Bricks Police station,Building Bricks Police station,Building Bricks Police station,Building Bricks Police station,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138708994,786138708994,,,,,,,,,,,,,,,,,,,1.3448,0.9184,0.4756,,4.67,,,,,,,,,,,,,,,,,,
,1361,Building Bricks Dollhouse,Building Bricks Dollhouse,Building Bricks Dollhouse,Building Bricks Dollhouse,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138709007,786138709007,,,,,,,,,,,,,,,,,,,0.9184,0.656,0.41,,1.7,,,,,,,,,,,,,,,,,,
