Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,A5 LUX RAZOR SCOOTER blue,A5 LUX RAZOR SCOOTER blue,A5 LUX RAZOR SCOOTER blue,A5 LUX RAZOR SCOOTER blue,Others,Ride-On & Bikes,Razor,Razor,845423018108,845423018108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13013258,A5 Lux Red ISTA,A5 Lux Red ISTA,A5 Lux Red ISTA,A5 Lux Red ISTA,Others,Ride-On & Bikes,Razor,Razor,845423018115,845423018115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20036543,RipRider,RipRider,RipRider,RipRider,Others,Ride-On & Bikes,Razor,Razor,845423018207,845423018207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ripstick,ripstick,ripstick,ripstick,Others,Sports & Active Play,Razor,Razor,845423019761,845423019761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13113202,RAZOR POWER A5,RAZOR POWER A5,RAZOR POWER A5,RAZOR POWER A5,Others,Ride-On & Bikes,Razor,Razor,845423021917,845423021917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13013840,Flashback Blue,Flashback Blue,Flashback Blue,Flashback Blue,Others,Ride-On & Bikes,Razor,Razor,845423024321,845423024321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RAZOR RIPSTER.,RAZOR RIPSTER.,RAZOR RIPSTER.,RAZOR RIPSTER.,Others,Ride-On & Bikes,Razor,Razor,845423024680,845423024680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RAZOR,RAZOR,RAZOR,RAZOR,Others,Ride-On & Bikes,Razor,Razor,845423003838,845423003838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Berry Lux Scooter,Berry Lux Scooter,Berry Lux Scooter,Berry Lux Scooter,Others,Ride-On & Bikes,Razor,Razor,845423014063,845423014063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25056140,Jetts DLX Blue SMU,Jetts DLX Blue SMU,Jetts DLX Blue SMU,Jetts DLX Blue SMU,Others,Sports & Active Play,Razor,Razor,845423019242,845423019242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13010053,A SCOOTER - RED,A SCOOTER - RED,A SCOOTER - RED,A SCOOTER - RED,Others,Ride-On & Bikes,Razor,Razor,845423018030,845423018030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,razor scooter clear,razor scooter clear,razor scooter clear,razor scooter clear,Others,Ride-On & Bikes,Razor,Razor,845423022396,845423022396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
