Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,KA,CD Kumzitz Alive By Baruch Levine,CD Kumzitz Alive By Baruch Levine,CD Kumzitz Alive By Baruch Levine,CD Kumzitz Alive By Baruch Levine,Others,CD/DVD/USB,Lchaim,Lchaim,826807230859,826807230859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LTCN,CD Lchaim Tish Chanuka,CD Lchaim Tish Chanuka,CD Lchaim Tish Chanuka,CD Lchaim Tish Chanuka,Others,CD/DVD/USB,Lchaim,Lchaim,7290102472116,7290102472116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MLAGT,CD Mama Loshen Ah Gantzen Tug,CD Mama Loshen Ah Gantzen Tug,CD Mama Loshen Ah Gantzen Tug,CD Mama Loshen Ah Gantzen Tug,Others,CD/DVD/USB,Lchaim,Lchaim,826807220485,826807220485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MLC,CD Mama Loshen- Chanukah,CD Mama Loshen- Chanukah,CD Mama Loshen- Chanukah,CD Mama Loshen- Chanukah,Others,CD/DVD/USB,Lchaim,Lchaim,826807220300,826807220300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MLE,CD Mama Loshen Elul W/Book,CD Mama Loshen Elul W/Book,CD Mama Loshen Elul W/Book,CD Mama Loshen Elul W/Book,Others,CD/DVD/USB,Lchaim,Lchaim,826807208568,826807208568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MLP,CD Mama Loshen Pesach W/ Book,CD Mama Loshen Pesach W/ Book,CD Mama Loshen Pesach W/ Book,CD Mama Loshen Pesach W/ Book,Others,CD/DVD/USB,Lchaim,Lchaim,826807214125,826807214125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SNT,CD Shabbos Nachas Toamehu,CD Shabbos Nachas Toamehu,CD Shabbos Nachas Toamehu,CD Shabbos Nachas Toamehu,Others,CD/DVD/USB,Lchaim,Lchaim,826807230682,826807230682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAS,CD Shulem Aleichem Shmili,CD Shulem Aleichem Shmili,CD Shulem Aleichem Shmili,CD Shulem Aleichem Shmili,Others,CD/DVD/USB,Lchaim,Lchaim,826807230811,826807230811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shirasa USB,Shirasa USB,Shirasa USB,Shirasa USB,Others,CD/DVD/USB,Lchaim,Lchaim,826807240803,826807240803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USBFM,A FINK IN MACHZER BY YANKY DASKAL,A FINK IN MACHZER BY YANKY DASKAL,A FINK IN MACHZER BY YANKY DASKAL,A FINK IN MACHZER BY YANKY DASKAL,Others,CD/DVD/USB,Lchaim,Lchaim,826807240629,826807240629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USBBLLC,USB Baruch Levine Lev Chudash,USB Baruch Levine Lev Chudash,USB Baruch Levine Lev Chudash,USB Baruch Levine Lev Chudash,Others,CD/DVD/USB,Lchaim,Lchaim,826807230309,826807230309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USBCHA,USB Chanukah Collection,USB Chanukah Collection,USB Chanukah Collection,USB Chanukah Collection,Others,CD/DVD/USB,Lchaim,Lchaim,826807221307,826807221307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
