Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,PLAY-DOH 12 VARIETY SLIME,PLAY-DOH 12 VARIETY SLIME,PLAY-DOH 12 VARIETY SLIME,PLAY-DOH 12 VARIETY SLIME,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993798537,5010993798537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Play-Doh Cookie Treats Bucket,Play-Doh Cookie Treats Bucket,Play-Doh Cookie Treats Bucket,Play-Doh Cookie Treats Bucket,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509394784,630509394784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAYDOH KITCHEN,PLAYDOH KITCHEN,PLAYDOH KITCHEN,PLAYDOH KITCHEN,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509497997,630509497997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY DOH TOASTER CREATION,PLAY DOH TOASTER CREATION,PLAY DOH TOASTER CREATION,PLAY DOH TOASTER CREATION,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509661824,630509661824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HAS-F7368,Play Doh Back to School 5 Pack,Play Doh Back to School 5 Pack,Play Doh Back to School 5 Pack,Play Doh Back to School 5 Pack,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,195166218601,195166218601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E85825L10,Play-Doh Cookie Dough,Play-Doh Cookie Dough,Play-Doh Cookie Dough,Play-Doh Cookie Dough,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993642892,5010993642892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B2199,Play-Doh Advent Calendar,Play-Doh Advent Calendar,Play-Doh Advent Calendar,Play-Doh Advent Calendar,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509329588,630509329588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B6768,PLAY DOH FUN CREATIONS MULTI COLOR,PLAY DOH FUN CREATIONS MULTI COLOR,PLAY DOH FUN CREATIONS MULTI COLOR,PLAY DOH FUN CREATIONS MULTI COLOR,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509455447,630509455447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E91935L10,PD Lollipop Pack,PD Lollipop Pack,PD Lollipop Pack,PD Lollipop Pack,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993711338,5010993711338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F0652,Play-Doh Kitchen Creations Grill 'n Stamp Playset,Play-Doh Kitchen Creations Grill 'n Stamp Playset,Play-Doh Kitchen Creations Grill 'n Stamp Playset,Play-Doh Kitchen Creations Grill 'n Stamp Playset,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993786244,5010993786244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2388C,Play Doh Animal Bucket,Play Doh Animal Bucket,Play Doh Animal Bucket,Play Doh Animal Bucket,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509677719,630509677719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E5112,Play Doh Kitchen Creations,Play Doh Kitchen Creations,Play Doh Kitchen Creations,Play Doh Kitchen Creations,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509806003,630509806003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
