Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,NY23075,MTA 3 PIECE TRAIN SET TRACK,MTA 3 PIECE TRAIN SET TRACK,MTA 3 PIECE TRAIN SET TRACK,MTA 3 PIECE TRAIN SET TRACK,Vehicles & RC,,,DARON,DARON,817346025778,817346025778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY206005,FDNY FIRE LADDER TRUCK W/LIGHTS & SOUND,FDNY FIRE LADDER TRUCK W/LIGHTS & SOUND,FDNY FIRE LADDER TRUCK W/LIGHTS & SOUND,FDNY FIRE LADDER TRUCK W/LIGHTS & SOUND,Vehicles & RC,,,DARON,DARON,817346025785,817346025785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY206006,NYC SANITATION GARBAGE TRUCK W/LIGHTS & SOUND,NYC SANITATION GARBAGE TRUCK W/LIGHTS & SOUND,NYC SANITATION GARBAGE TRUCK W/LIGHTS & SOUND,NYC SANITATION GARBAGE TRUCK W/LIGHTS & SOUND,Vehicles & RC,,,DARON,DARON,817346025792,817346025792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY206007,FDNY AMBULANCE W /LIGHTS & SOUND,FDNY AMBULANCE W /LIGHTS & SOUND,FDNY AMBULANCE W /LIGHTS & SOUND,FDNY AMBULANCE W /LIGHTS & SOUND,Vehicles & RC,,,DARON,DARON,817346025808,817346025808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY206008,NYPD SUV W.LIGHTS N SOUNDS,NYPD SUV W.LIGHTS N SOUNDS,NYPD SUV W.LIGHTS N SOUNDS,NYPD SUV W.LIGHTS N SOUNDS,Vehicles & RC,,,DARON,DARON,817346025815,817346025815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY554771,NYPD POLICE CAR W /LIGHTS & SOUND,NYPD POLICE CAR W /LIGHTS & SOUND,NYPD POLICE CAR W /LIGHTS & SOUND,NYPD POLICE CAR W /LIGHTS & SOUND,Vehicles & RC,,,DARON,DARON,817346025839,817346025839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RB79632,TANKER TRUCK GULF OIL,TANKER TRUCK GULF OIL,TANKER TRUCK GULF OIL,TANKER TRUCK GULF OIL,Vehicles & RC,,,DARON,DARON,817346026089,817346026089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RB79631,TRACTOR TRAILER GULF OIL,TRACTOR TRAILER GULF OIL,TRACTOR TRAILER GULF OIL,TRACTOR TRAILER GULF OIL,Vehicles & RC,,,DARON,DARON,817346026096,817346026096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY070,DARON NYPD WALIKE TALKIE SET,DARON NYPD WALIKE TALKIE SET,DARON NYPD WALIKE TALKIE SET,DARON NYPD WALIKE TALKIE SET,Vehicles & RC,,,DARON,DARON,817346026119,817346026119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY190,WALKIE TALKIE FDNY,WALKIE TALKIE FDNY,WALKIE TALKIE FDNY,WALKIE TALKIE FDNY,Vehicles & RC,,,DARON,DARON,817346026126,817346026126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TT61020,DARON PULLBACK ACTION PENNSYLVANIA AIRLINES AIRPLANE,DARON PULLBACK ACTION PENNSYLVANIA AIRLINES AIRPLANE,DARON PULLBACK ACTION PENNSYLVANIA AIRLINES AIRPLANE,DARON PULLBACK ACTION PENNSYLVANIA AIRLINES AIRPLANE,Vehicles & RC,,,DARON,DARON,817346026874,817346026874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LA2200,POLICE CAR LAPD W/LIGHT SND,POLICE CAR LAPD W/LIGHT SND,POLICE CAR LAPD W/LIGHT SND,POLICE CAR LAPD W/LIGHT SND,Vehicles & RC,,,DARON,DARON,817346027048,817346027048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DARON FDNY FIRE STATION WITH CASE,DARON FDNY FIRE STATION WITH CASE,DARON FDNY FIRE STATION WITH CASE,DARON FDNY FIRE STATION WITH CASE,Vehicles & RC,,,DARON,DARON,817346027307,817346027307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
