Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,#20073951,PICTUREKA CARD GAME,PICTUREKA CARD GAME,PICTUREKA CARD GAME,PICTUREKA CARD GAME,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012110,714043012110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KOZO GAME,KOZO GAME,KOZO GAME,KOZO GAME,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043012233,714043012233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1140,The Game of Life Classic Edition,The Game of Life Classic Edition,The Game of Life Classic Edition,The Game of Life Classic Edition,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011403,714043011403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1167,Classic Yahtzee,Classic Yahtzee,Classic Yahtzee,Classic Yahtzee,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011670,714043011670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1191,Guess Who?,Guess Who?,Guess Who?,Guess Who?,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011915,714043011915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1206,GAME OF THE STATES,GAME OF THE STATES,GAME OF THE STATES,GAME OF THE STATES,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043012066,714043012066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1235,Scrabble Slam,Scrabble Slam,Scrabble Slam,Scrabble Slam,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012356,714043012356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5030,RUBIK'S BEAR,RUBIK'S BEAR,RUBIK'S BEAR,RUBIK'S BEAR,Others,Games,WINNING MOVES,WINNING MOVES,714043050303,714043050303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6122,Rack-o Card Game,Rack-o Card Game,Rack-o Card Game,Rack-o Card Game,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043061224,714043061224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1121,Risk 1959,Risk 1959,Risk 1959,Risk 1959,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011212,714043011212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1147,Big Boggle,Big Boggle,Big Boggle,Big Boggle,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043011472,714043011472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#1225,ICE POP SWAP,ICE POP SWAP,ICE POP SWAP,ICE POP SWAP,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012158,714043012158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5036,RUBIK'S TWIST KEY RING,RUBIK'S TWIST KEY RING,RUBIK'S TWIST KEY RING,RUBIK'S TWIST KEY RING,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043050365,714043050365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1126,Monopoly The 1980's Edition,Monopoly The 1980's Edition,Monopoly The 1980's Edition,Monopoly The 1980's Edition,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011267,714043011267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1158,RUBIKS VOID,RUBIKS VOID,RUBIKS VOID,RUBIKS VOID,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043011588,714043011588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOURING CARD GAME,TOURING CARD GAME,TOURING CARD GAME,TOURING CARD GAME,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043011861,714043011861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#1216,TRIPLE CROSS,TRIPLE CROSS,TRIPLE CROSS,TRIPLE CROSS,Others,Party & Group Games,WINNING MOVES,WINNING MOVES,714043012165,714043012165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RISK EUROPE,RISK EUROPE,RISK EUROPE,RISK EUROPE,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043012325,714043012325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GAME SCRABBLE TOGO,GAME SCRABBLE TOGO,GAME SCRABBLE TOGO,GAME SCRABBLE TOGO,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043012028,714043012028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1226-02173,WINNING MOVES PRECIOUS CARGO,WINNING MOVES PRECIOUS CARGO,WINNING MOVES PRECIOUS CARGO,WINNING MOVES PRECIOUS CARGO,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043012264,714043012264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCRABBLE SPANISH,SCRABBLE SPANISH,SCRABBLE SPANISH,SCRABBLE SPANISH,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012479,714043012479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1250,Monoply Scrabble,Monoply Scrabble,Monoply Scrabble,Monoply Scrabble,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012509,714043012509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1251,BOGGLE JR,BOGGLE JR,BOGGLE JR,BOGGLE JR,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043012516,714043012516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YAHTZEE WORDS,YAHTZEE WORDS,YAHTZEE WORDS,YAHTZEE WORDS,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043012523,714043012523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1253,RACKO JR,RACKO JR,RACKO JR,RACKO JR,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012530,714043012530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1254,PRETTY PRETTY PRINCESS CARD GAME,PRETTY PRETTY PRINCESS CARD GAME,PRETTY PRETTY PRINCESS CARD GAME,PRETTY PRETTY PRINCESS CARD GAME,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012547,714043012547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Twistables 3x3x3,Twistables 3x3x3,Twistables 3x3x3,Twistables 3x3x3,Others,Puzzles & Accessories,WINNING MOVES,WINNING MOVES,714043072015,714043072015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7202,Twistablesâ¢ 2 x 2 X 2,Twistablesâ¢ 2 x 2 X 2,Twistablesâ¢ 2 x 2 X 2,Twistablesâ¢ 2 x 2 X 2,Others,Puzzles & Accessories,WINNING MOVES,WINNING MOVES,714043072022,714043072022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1250,Monopoly Scrabble Game,Monopoly Scrabble Game,Monopoly Scrabble Game,Monopoly Scrabble Game,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,71404301250,71404301250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1244,CHINESE CHECKERS,CHINESE CHECKERS,CHINESE CHECKERS,CHINESE CHECKERS,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043012448,714043012448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,INSTANT INSANITY,INSTANT INSANITY,INSTANT INSANITY,INSTANT INSANITY,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043012561,714043012561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Twistable 4x4x4,Twistable 4x4x4,Twistable 4x4x4,Twistable 4x4x4,Others,Puzzles & Accessories,WINNING MOVES,WINNING MOVES,714043072039,714043072039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1237W-02860,WINNING MOVES WORDS OVER EASY GM,WINNING MOVES WORDS OVER EASY GM,WINNING MOVES WORDS OVER EASY GM,WINNING MOVES WORDS OVER EASY GM,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,71404301237,71404301237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1260,THAT COLOR SPEAKS TO ME,THAT COLOR SPEAKS TO ME,THAT COLOR SPEAKS TO ME,THAT COLOR SPEAKS TO ME,Others,Party & Group Games,WINNING MOVES,WINNING MOVES,714043012608,714043012608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RISK 1980s,RISK 1980s,RISK 1980s,RISK 1980s,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043012486,714043012486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,words over easy,words over easy,words over easy,words over easy,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043012370,714043012370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1262,Deluxe Pretty Pretty PrincessÂ®,Deluxe Pretty Pretty PrincessÂ®,Deluxe Pretty Pretty PrincessÂ®,Deluxe Pretty Pretty PrincessÂ®,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043012622,714043012622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1261,Boggle Jr Numbers,Boggle Jr Numbers,Boggle Jr Numbers,Boggle Jr Numbers,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043012615,714043012615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1199,Pass The Pigs Big Pigs,Pass The Pigs Big Pigs,Pass The Pigs Big Pigs,Pass The Pigs Big Pigs,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011991,714043011991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
