Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,PM195,MiniMags 27pc in tin,MiniMags 27pc in tin,MiniMags 27pc in tin,MiniMags 27pc in tin,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138712151,786138712151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM196,MiniMags 57pc in tin,MiniMags 57pc in tin,MiniMags 57pc in tin,MiniMags 57pc in tin,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138712168,786138712168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM197,MiniMags 42pc in case,MiniMags 42pc in case,MiniMags 42pc in case,MiniMags 42pc in case,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138712175,786138712175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM198,MiniMags 100pc in case,MiniMags 100pc in case,MiniMags 100pc in case,MiniMags 100pc in case,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138712182,786138712182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM199,Playmags Western Wall,Playmags Western Wall,Playmags Western Wall,Playmags Western Wall,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138712199,786138712199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-157,Playmags set of 2 cars,Playmags set of 2 cars,Playmags set of 2 cars,Playmags set of 2 cars,Building Sets & Blocks,Magnetic,,Playmags,Playmags,682017400617,682017400617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM179,PLAYMAGS MAGNETIC PUZZLE CUBE,PLAYMAGS MAGNETIC PUZZLE CUBE,PLAYMAGS MAGNETIC PUZZLE CUBE,PLAYMAGS MAGNETIC PUZZLE CUBE,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138706563,786138706563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-181,Playmags 18 Pc. Big Bricks Tile,Playmags 18 Pc. Big Bricks Tile,Playmags 18 Pc. Big Bricks Tile,Playmags 18 Pc. Big Bricks Tile,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138706587,786138706587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM183,PLAYMAGS 32 PIECE ~NEW~,PLAYMAGS 32 PIECE ~NEW~,PLAYMAGS 32 PIECE ~NEW~,PLAYMAGS 32 PIECE ~NEW~,Building Sets & Blocks,Magnetic,,Playmags,Playmags,104,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-169,PLAYMAGS 60PC WINDOW SET,PLAYMAGS 60PC WINDOW SET,PLAYMAGS 60PC WINDOW SET,PLAYMAGS 60PC WINDOW SET,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138800149,86138800149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-174,Playmags Magna Drawing Board,Playmags Magna Drawing Board,Playmags Magna Drawing Board,Playmags Magna Drawing Board,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138804048,86138804048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-152,PLAYMAGS 50 PIECE SET,PLAYMAGS 50 PIECE SET,PLAYMAGS 50 PIECE SET,PLAYMAGS 50 PIECE SET,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138103912,86138103912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAYMAG BOOK IDEA,PLAYMAG BOOK IDEA,PLAYMAG BOOK IDEA,PLAYMAG BOOK IDEA,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138105305,86138105305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-170,PLAYMAGS 80 PC SET,PLAYMAGS 80 PC SET,PLAYMAGS 80 PC SET,PLAYMAGS 80 PC SET,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138800156,86138800156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-180,Playmags 18 Pc. Small Bricks Tiles,Playmags 18 Pc. Small Bricks Tiles,Playmags 18 Pc. Small Bricks Tiles,Playmags 18 Pc. Small Bricks Tiles,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138706570,786138706570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-177,Playmags Magna Dots Large,Playmags Magna Dots Large,Playmags Magna Dots Large,Playmags Magna Dots Large,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138703944,786138703944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM182,Playmags 200 Piece Set Magnetic Race Track,Playmags 200 Piece Set Magnetic Race Track,Playmags 200 Piece Set Magnetic Race Track,Playmags 200 Piece Set Magnetic Race Track,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138706594,786138706594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-156,PLAYMAGS 150 PCS SET,PLAYMAGS 150 PCS SET,PLAYMAGS 150 PCS SET,PLAYMAGS 150 PCS SET,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138104605,86138104605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-159,PLAYMAGS MAGNA BOARD,PLAYMAGS MAGNA BOARD,PLAYMAGS MAGNA BOARD,PLAYMAGS MAGNA BOARD,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138104919,86138104919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#165,PLAYMAGS 32 PC STARTER SET,PLAYMAGS 32 PC STARTER SET,PLAYMAGS 32 PC STARTER SET,PLAYMAGS 32 PC STARTER SET,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138106463,86138106463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-167,PLAYMAGS STABILIZER MAGNABOARD,PLAYMAGS STABILIZER MAGNABOARD,PLAYMAGS STABILIZER MAGNABOARD,PLAYMAGS STABILIZER MAGNABOARD,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138800125,86138800125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-155,PLAYMAGS 20 PIECES ACCESSORY,PLAYMAGS 20 PIECES ACCESSORY,PLAYMAGS 20 PIECES ACCESSORY,PLAYMAGS 20 PIECES ACCESSORY,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138103943,86138103943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-157,PLAYMAGS CAR SET,PLAYMAGS CAR SET,PLAYMAGS CAR SET,PLAYMAGS CAR SET,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138104612,86138104612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-168,PLAYMAGS ABC CLICKENS 36PC,PLAYMAGS ABC CLICKENS 36PC,PLAYMAGS ABC CLICKENS 36PC,PLAYMAGS ABC CLICKENS 36PC,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138800132,86138800132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-176,PLAYMAGS 15PC MAGNETIC FIGURES,PLAYMAGS 15PC MAGNETIC FIGURES,PLAYMAGS 15PC MAGNETIC FIGURES,PLAYMAGS 15PC MAGNETIC FIGURES,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138703821,786138703821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-164,PLAYMAGS DOME SET 28PC,PLAYMAGS DOME SET 28PC,PLAYMAGS DOME SET 28PC,PLAYMAGS DOME SET 28PC,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138106456,86138106456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-166,PLAYMAGS 132 PC (BUCKET),PLAYMAGS 132 PC (BUCKET),PLAYMAGS 132 PC (BUCKET),PLAYMAGS 132 PC (BUCKET),Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138106548,86138106548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-172,PLAYMAGS MAGNA BOARD SET,PLAYMAGS MAGNA BOARD SET,PLAYMAGS MAGNA BOARD SET,PLAYMAGS MAGNA BOARD SET,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138800279,86138800279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-151,PLAYMAGS 100PC SET,PLAYMAGS 100PC SET,PLAYMAGS 100PC SET,PLAYMAGS 100PC SET,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138102724,86138102724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-154,PLAYMAGS 30 PC Square Set,PLAYMAGS 30 PC Square Set,PLAYMAGS 30 PC Square Set,PLAYMAGS 30 PC Square Set,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138103936,86138103936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#621,PLAYMAGS ACCESSORIES SET 24PC,PLAYMAGS ACCESSORIES SET 24PC,PLAYMAGS ACCESSORIES SET 24PC,PLAYMAGS ACCESSORIES SET 24PC,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138105329,86138105329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-153,PLAYMAGS ACCESORY SET 50PC,PLAYMAGS ACCESORY SET 50PC,PLAYMAGS ACCESORY SET 50PC,PLAYMAGS ACCESORY SET 50PC,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138106425,86138106425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-158,PLAYMAGS CLASSIC SET 60PC,PLAYMAGS CLASSIC SET 60PC,PLAYMAGS CLASSIC SET 60PC,PLAYMAGS CLASSIC SET 60PC,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138103929,86138103929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,PLAYMAGS ALEF BEIS SET 72 PCS,PLAYMAGS ALEF BEIS SET 72 PCS,PLAYMAGS ALEF BEIS SET 72 PCS,PLAYMAGS ALEF BEIS SET 72 PCS,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138800163,86138800163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-178,Playmags Magna Dots Small,Playmags Magna Dots Small,Playmags Magna Dots Small,Playmags Magna Dots Small,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138703951,786138703951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
