Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,1' BINDER,1' BINDER,1' BINDER,1' BINDER,Others,Binders & Dividers,BAZIC,BAZIC,764608031322,764608031322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RUBBER BANDS,RUBBER BANDS,RUBBER BANDS,RUBBER BANDS,Others,Binders & Dividers,BAZIC,BAZIC,764608061022,764608061022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2"" METAL BOOK RING","2"" METAL BOOK RING","2"" METAL BOOK RING","2"" METAL BOOK RING",Others,Binders & Dividers,BAZIC,BAZIC,764608002148,764608002148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BINDER CLIPS,BINDER CLIPS,BINDER CLIPS,BINDER CLIPS,Others,Binders & Dividers,BAZIC,BAZIC,764608002698,764608002698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1' BINDER,1' BINDER,1' BINDER,1' BINDER,Others,Binders & Dividers,BAZIC,BAZIC,764608031261,764608031261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RUBBER BANDS,RUBBER BANDS,RUBBER BANDS,RUBBER BANDS,Others,Binders & Dividers,BAZIC,BAZIC,764608061008,764608061008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOOK RINGS,BOOK RINGS,BOOK RINGS,BOOK RINGS,Others,Binders & Dividers,BAZIC,BAZIC,764608002124,764608002124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1"" SOFT BINDER-BAZIC","1"" SOFT BINDER-BAZIC","1"" SOFT BINDER-BAZIC","1"" SOFT BINDER-BAZIC",Others,Binders & Dividers,BAZIC,BAZIC,764608031216,764608031216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BAZIC 1"" BINDER","BAZIC 1"" BINDER","BAZIC 1"" BINDER","BAZIC 1"" BINDER",Others,Binders & Dividers,BAZIC,BAZIC,764608031339,764608031339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BAZIC LARGE BINDER CLIPS #262,BAZIC LARGE BINDER CLIPS #262,BAZIC LARGE BINDER CLIPS #262,BAZIC LARGE BINDER CLIPS #262,Others,Binders & Dividers,BAZIC,BAZIC,764608002629,764608002629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,INSERTABLE CANARY DIVIDER,INSERTABLE CANARY DIVIDER,INSERTABLE CANARY DIVIDER,INSERTABLE CANARY DIVIDER,Others,Binders & Dividers,BAZIC,BAZIC,764608021507,764608021507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,insertable pockets divider,insertable pockets divider,insertable pockets divider,insertable pockets divider,Others,Binders & Dividers,BAZIC,BAZIC,764608031148,764608031148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/2 INCH BINDER BUURGANDY,1/2 INCH BINDER BUURGANDY,1/2 INCH BINDER BUURGANDY,1/2 INCH BINDER BUURGANDY,Others,Binders & Dividers,BAZIC,BAZIC,764608041000,764608041000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,METAL BOOK RINGS,METAL BOOK RINGS,METAL BOOK RINGS,METAL BOOK RINGS,Others,Binders & Dividers,BAZIC,BAZIC,764608002155,764608002155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3021,Bazic Scientific Calculator,Bazic Scientific Calculator,Bazic Scientific Calculator,Bazic Scientific Calculator,Others,Calculator,BAZIC,BAZIC,764608030219,764608030219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESKTOP CALCULATOR,DESKTOP CALCULATOR,DESKTOP CALCULATOR,DESKTOP CALCULATOR,Others,Calculator,BAZIC,BAZIC,764608030011,764608030011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESKTOP CALCULATOR,DESKTOP CALCULATOR,DESKTOP CALCULATOR,DESKTOP CALCULATOR,Others,Calculator,BAZIC,BAZIC,764608030127,764608030127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,POCKET CALCULATOR,POCKET CALCULATOR,POCKET CALCULATOR,POCKET CALCULATOR,Others,Calculator,BAZIC,BAZIC,764608030097,764608030097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CALCULATOR,CALCULATOR,CALCULATOR,CALCULATOR,Others,Calculator,BAZIC,BAZIC,764608030035,764608030035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8-DIGIT DESKTOP CALCULATOR,8-DIGIT DESKTOP CALCULATOR,8-DIGIT DESKTOP CALCULATOR,8-DIGIT DESKTOP CALCULATOR,Others,Calculator,BAZIC,BAZIC,764608030080,764608030080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4 COLOR PEN,4 COLOR PEN,4 COLOR PEN,4 COLOR PEN,Others,Coloring Supplies,BAZIC,BAZIC,764608017180,764608017180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flat paint brush brush,flat paint brush brush,flat paint brush brush,flat paint brush brush,Others,Coloring Supplies,BAZIC,BAZIC,764608039816,764608039816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ASSORTED PAINT BRUSH SET,ASSORTED PAINT BRUSH SET,ASSORTED PAINT BRUSH SET,ASSORTED PAINT BRUSH SET,Others,Coloring Supplies,BAZIC,BAZIC,764608039878,764608039878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BAZIC Premium Sketch Pad 30 Sheets 9"" X 12""","BAZIC Premium Sketch Pad 30 Sheets 9"" X 12""","BAZIC Premium Sketch Pad 30 Sheets 9"" X 12""","BAZIC Premium Sketch Pad 30 Sheets 9"" X 12""",Others,Coloring Supplies,BAZIC,BAZIC,764608050446,764608050446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,round paint brush,round paint brush,round paint brush,round paint brush,Others,Coloring Supplies,BAZIC,BAZIC,764608039823,764608039823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3 COLOR PEN,3 COLOR PEN,3 COLOR PEN,3 COLOR PEN,Others,Coloring Supplies,BAZIC,BAZIC,764608017494,764608017494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4 color pen,4 color pen,4 color pen,4 color pen,Others,Coloring Supplies,BAZIC,BAZIC,764608017470,764608017470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALL PURPOSE PAINT BRUSH,ALL PURPOSE PAINT BRUSH,ALL PURPOSE PAINT BRUSH,ALL PURPOSE PAINT BRUSH,Others,Coloring Supplies,BAZIC,BAZIC,764608039854,764608039854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#3435,1000 CRAFT STICKS,1000 CRAFT STICKS,1000 CRAFT STICKS,1000 CRAFT STICKS,Others,Craft Kits Beads & DIY,BAZIC,BAZIC,764608034354,764608034354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Craft Sticks 100 Pk,Craft Sticks 100 Pk,Craft Sticks 100 Pk,Craft Sticks 100 Pk,Others,Craft Kits Beads & DIY,BAZIC,BAZIC,764608068007,764608068007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
