Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,2754,Man TGA Crane Truck,Man TGA Crane Truck,Man TGA Crane Truck,Man TGA Crane Truck,Others,Cars & Trucks,bruder,bruder,4001702027544,4001702027544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2815,MACK Granite Dump Truck,MACK Granite Dump Truck,MACK Granite Dump Truck,MACK Granite Dump Truck,Others,Cars & Trucks,bruder,bruder,4001702028152,4001702028152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Firgure set logistics,Firgure set logistics,Firgure set logistics,Firgure set logistics,Others,Ships & Aircraft,bruder,bruder,4001702622107,4001702622107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2446,CAT Small Excavator,CAT Small Excavator,CAT Small Excavator,CAT Small Excavator,Others,Emergency & Service Vehicles,bruder,bruder,4001702024468,4001702024468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2505,RAM 2500 Police with Policeman,RAM 2500 Police with Policeman,RAM 2500 Police with Policeman,RAM 2500 Police with Policeman,Others,Emergency & Service Vehicles,bruder,bruder,4001702025052,4001702025052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2541,Jeep Cross Country racer blue with driver,Jeep Cross Country racer blue with driver,Jeep Cross Country racer blue with driver,Jeep Cross Country racer blue with driver,Others,Cars & Trucks,bruder,bruder,4001702025410,4001702025410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2771,Fire engine with water pump with Light/Sound,Fire engine with water pump with Light/Sound,Fire engine with water pump with Light/Sound,Fire engine with water pump with Light/Sound,Others,Emergency & Service Vehicles,bruder,bruder,4001702027711,4001702027711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2828,MACK Granite UPS Logistcs Truck w Forklift,MACK Granite UPS Logistcs Truck w Forklift,MACK Granite UPS Logistcs Truck w Forklift,MACK Granite UPS Logistcs Truck w Forklift,Others,Cars & Trucks,bruder,bruder,4001702028282,4001702028282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2511,Linde H30D Fork lift with Pallet,Linde H30D Fork lift with Pallet,Linde H30D Fork lift with Pallet,Linde H30D Fork lift with Pallet,Others,Emergency & Service Vehicles,bruder,bruder,4001702025113,4001702025113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2590,Bruder Land Rover Defender,Bruder Land Rover Defender,Bruder Land Rover Defender,Bruder Land Rover Defender,Others,Cars & Trucks,bruder,bruder,4001702025908,4001702025908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2829,Granite Tow Truck with Roadster,Granite Tow Truck with Roadster,Granite Tow Truck with Roadster,Granite Tow Truck with Roadster,Others,Cars & Trucks,bruder,bruder,4001702028299,4001702028299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,bworld Bike shop and service,bworld Bike shop and service,bworld Bike shop and service,bworld Bike shop and service,Others,Ride-On & Bikes,bruder,bruder,4001702631208,4001702631208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2428,JCB Loader Backhoe,JCB Loader Backhoe,JCB Loader Backhoe,JCB Loader Backhoe,Others,Emergency & Service Vehicles,bruder,bruder,4001702024284,4001702024284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2454,JCB 5CX eco Backhoe Loader,JCB 5CX eco Backhoe Loader,JCB 5CX eco Backhoe Loader,JCB 5CX eco Backhoe Loader,Others,Emergency & Service Vehicles,bruder,bruder,4001702024543,4001702024543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2526,Jeep Rubicon Police car and Policeman,Jeep Rubicon Police car and Policeman,Jeep Rubicon Police car and Policeman,Jeep Rubicon Police car and Policeman,Others,Cars & Trucks,bruder,bruder,4001702025267,4001702025267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2813,Granite Flatbed Truck with Loader Backhoe,Granite Flatbed Truck with Loader Backhoe,Granite Flatbed Truck with Loader Backhoe,Granite Flatbed Truck with Loader Backhoe,Others,Cars & Trucks,bruder,bruder,4001702028138,4001702028138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2670,MB Sprinter Transfer,MB Sprinter Transfer,MB Sprinter Transfer,MB Sprinter Transfer,Others,Cars & Trucks,bruder,bruder,400170226707,400170226707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2142,Bruder Cat Telehandler,Bruder Cat Telehandler,Bruder Cat Telehandler,Bruder Cat Telehandler,Others,Emergency & Service Vehicles,bruder,bruder,4001702021429,4001702021429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2425,Bruder Articulated Road Loader Fiat,Bruder Articulated Road Loader Fiat,Bruder Articulated Road Loader Fiat,Bruder Articulated Road Loader Fiat,Others,Emergency & Service Vehicles,bruder,bruder,4001702024253,4001702024253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2426,Wheel Excavator Liebherr Power Shovel,Wheel Excavator Liebherr Power Shovel,Wheel Excavator Liebherr Power Shovel,Wheel Excavator Liebherr Power Shovel,Others,Emergency & Service Vehicles,bruder,bruder,4001702024260,4001702024260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2482,CAT Skid Steer Loader,CAT Skid Steer Loader,CAT Skid Steer Loader,CAT Skid Steer Loader,Others,Emergency & Service Vehicles,bruder,bruder,4001702024826,4001702024826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2504,Bruder - Ram 2500 Power Wagon Roadster Racing Team,Bruder - Ram 2500 Power Wagon Roadster Racing Team,Bruder - Ram 2500 Power Wagon Roadster Racing Team,Bruder - Ram 2500 Power Wagon Roadster Racing Team,Others,Cars & Trucks,bruder,bruder,4001702025045,4001702025045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2507,"Ram 2500 Police with Lights & Sounds Trailer, Boat & Figures","Ram 2500 Police with Lights & Sounds Trailer, Boat & Figures","Ram 2500 Police with Lights & Sounds Trailer, Boat & Figures","Ram 2500 Police with Lights & Sounds Trailer, Boat & Figures",Others,Emergency & Service Vehicles,bruder,bruder,4001702025076,4001702025076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2509,Ram Service Truck with Rotating Beacon Light,Ram Service Truck with Rotating Beacon Light,Ram Service Truck with Rotating Beacon Light,Ram Service Truck with Rotating Beacon Light,Others,Cars & Trucks,bruder,bruder,4001702025090,4001702025090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2528,Jeep Rubicon Fire Vehicle W Fireman,Jeep Rubicon Fire Vehicle W Fireman,Jeep Rubicon Fire Vehicle W Fireman,Jeep Rubicon Fire Vehicle W Fireman,Others,Emergency & Service Vehicles,bruder,bruder,4001702025281,4001702025281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2543,Jeep Rubicon w/Mountain Bike and Figure,Jeep Rubicon w/Mountain Bike and Figure,Jeep Rubicon w/Mountain Bike and Figure,Jeep Rubicon w/Mountain Bike and Figure,Others,Cars & Trucks,bruder,bruder,4001702025434,4001702025434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2544,RAM 2500 Fire Rescue truck,RAM 2500 Fire Rescue truck,RAM 2500 Fire Rescue truck,RAM 2500 Fire Rescue truck,Others,Cars & Trucks,bruder,bruder,4001702025441,4001702025441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2592,Land Rover Defender W/ Horse Trailer and Horse,Land Rover Defender W/ Horse Trailer and Horse,Land Rover Defender W/ Horse Trailer and Horse,Land Rover Defender W/ Horse Trailer and Horse,Others,Themed & Specialty Vehicles,bruder,bruder,4001702025922,4001702025922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2593,Land Rover Defender with Trailer,Land Rover Defender with Trailer,Land Rover Defender with Trailer,Land Rover Defender with Trailer,Others,Themed & Specialty Vehicles,bruder,bruder,4001702025939,4001702025939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2672,Mercedes-Benz Sprinter Camper,Mercedes-Benz Sprinter Camper,Mercedes-Benz Sprinter Camper,Mercedes-Benz Sprinter Camper,Others,Themed & Specialty Vehicles,bruder,bruder,4001702026721,4001702026721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
