UPC Code,Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
786138701742,,3109 LARGE,SCRATCH SHEETS 8X12,SCRATCH SHEETS 8X12,SCRATCH SHEETS 8X12,SCRATCH SHEETS 8X12,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138701742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701032,,3103,DOUBLE SIDED EASEL,DOUBLE SIDED EASEL,DOUBLE SIDED EASEL,DOUBLE SIDED EASEL,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138701032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138705429,,PK-3138,6 Pc Paint Sticks - Neon,6 Pc Paint Sticks - Neon,6 Pc Paint Sticks - Neon,6 Pc Paint Sticks - Neon,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138705429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138705504,,PK-3146,6 Pc 3D Puff Paint - Matellic,6 Pc 3D Puff Paint - Matellic,6 Pc 3D Puff Paint - Matellic,6 Pc 3D Puff Paint - Matellic,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138705504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138706259,,PK-3149,Kids Smock - Small,Kids Smock - Small,Kids Smock - Small,Kids Smock - Small,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138706259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701056,,3105,Colorate,Colorate,Colorate,Colorate,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138701056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701315,,3203,COLOR DOODLER DELUXE SET,COLOR DOODLER DELUXE SET,COLOR DOODLER DELUXE SET,COLOR DOODLER DELUXE SET,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138701315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138704255,,3134,SPIRAL DRAW,SPIRAL DRAW,SPIRAL DRAW,SPIRAL DRAW,Others,Arts & Crafts,Craft Kits Beads & DIY,PLAYKIDIZ ,PLAYKIDIZ ,786138704255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138705443,,PK-3140,24 Pc 3D Puffy Paint All Colors,24 Pc 3D Puffy Paint All Colors,24 Pc 3D Puffy Paint All Colors,24 Pc 3D Puffy Paint All Colors,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138705443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138705528,,3152 PK-3148,12 Pc Washable Tempera Paint Tubes,12 Pc Washable Tempera Paint Tubes,12 Pc Washable Tempera Paint Tubes,12 Pc Washable Tempera Paint Tubes,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138705528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138706273,,PK-3151,Kids Smock - Medium (Pink Variation),Kids Smock - Medium (Pink Variation),Kids Smock - Medium (Pink Variation),Kids Smock - Medium (Pink Variation),Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138706273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086138804116,,3101,SCRATCH MAGIC NOTES,SCRATCH MAGIC NOTES,SCRATCH MAGIC NOTES,SCRATCH MAGIC NOTES,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,086138804116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086138804123,,3102,SCRATCH NOTES HOLOGRAPHIC NOTES,SCRATCH NOTES HOLOGRAPHIC NOTES,SCRATCH NOTES HOLOGRAPHIC NOTES,SCRATCH NOTES HOLOGRAPHIC NOTES,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,086138804123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138706600,,3152,Deluxe Kids Paint Set,Deluxe Kids Paint Set,Deluxe Kids Paint Set,Deluxe Kids Paint Set,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138706600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138706617,,PK-3153,Washable Dot Markers 12 Pack,Washable Dot Markers 12 Pack,Washable Dot Markers 12 Pack,Washable Dot Markers 12 Pack,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138706617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138706624,,PK-3154,25 Pc. Kids Paint Brushes,25 Pc. Kids Paint Brushes,25 Pc. Kids Paint Brushes,25 Pc. Kids Paint Brushes,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138706624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138706631,,PK-3155,12 Pc. Squeezable Paint Brush,12 Pc. Squeezable Paint Brush,12 Pc. Squeezable Paint Brush,12 Pc. Squeezable Paint Brush,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138706631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138706648,,PK-3156,Rainbow Watercolor Paint Set,Rainbow Watercolor Paint Set,Rainbow Watercolor Paint Set,Rainbow Watercolor Paint Set,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138706648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138706983,,D-3160,Make Your Own Dino Soap,Make Your Own Dino Soap,Make Your Own Dino Soap,Make Your Own Dino Soap,Others,Arts & Crafts,Craft Kits Beads & DIY,PLAYKIDIZ ,PLAYKIDIZ ,786138706983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138706990,,D-3161,Make Your Own Animal Soap,Make Your Own Animal Soap,Make Your Own Animal Soap,Make Your Own Animal Soap,Others,Arts & Crafts,Craft Kits Beads & DIY,PLAYKIDIZ ,PLAYKIDIZ ,786138706990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701841,,PK-3114,MODELING CLAY 10 COLORS,MODELING CLAY 10 COLORS,MODELING CLAY 10 COLORS,MODELING CLAY 10 COLORS,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701926,,3133,MODELING CLAY CONSTRUCTION TRUCKS,MODELING CLAY CONSTRUCTION TRUCKS,MODELING CLAY CONSTRUCTION TRUCKS,MODELING CLAY CONSTRUCTION TRUCKS,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702084,,3130,MODELING CLAY NEON,MODELING CLAY NEON,MODELING CLAY NEON,MODELING CLAY NEON,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138702084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702381,,PK-3284,FUNFLUFF 5 COLORS BUCKET,FUNFLUFF 5 COLORS BUCKET,FUNFLUFF 5 COLORS BUCKET,FUNFLUFF 5 COLORS BUCKET,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138702381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701858,,PK-3115,MODELING CLAY 8 COLORS,MODELING CLAY 8 COLORS,MODELING CLAY 8 COLORS,MODELING CLAY 8 COLORS,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138702091,,3131,MODELING CLAY IN CLEAR BOX,MODELING CLAY IN CLEAR BOX,MODELING CLAY IN CLEAR BOX,MODELING CLAY IN CLEAR BOX,Arts & Crafts ,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138702091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
