Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,20617,"12"" Baby Babbler with 20 Sounds","12"" Baby Babbler with 20 Sounds","12"" Baby Babbler with 20 Sounds","12"" Baby Babbler with 20 Sounds",Others,Dolls,Gi-go,Gi-go,93905206172,93905206172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65249,Feeding Set,Feeding Set,Feeding Set,Feeding Set,Others,Dolls,Gi-go,Gi-go,93905652498,93905652498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80217,"12"" Baby Starter Set","12"" Baby Starter Set","12"" Baby Starter Set","12"" Baby Starter Set",Others,Dolls,Gi-go,Gi-go,93905802176,93905802176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bathtub Doll set,Bathtub Doll set,Bathtub Doll set,Bathtub Doll set,Others,Dolls,Gi-go,Gi-go,93905191621,93905191621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19645,"14"" dream time baby","14"" dream time baby","14"" dream time baby","14"" dream time baby",Others,Dolls,Gi-go,Gi-go,93905196459,93905196459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20303,"12"" Baby Maggie","12"" Baby Maggie","12"" Baby Maggie","12"" Baby Maggie",Others,Dolls,Gi-go,Gi-go,93905203034,93905203034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20623,"My Dream Baby 17"" Beanweighted Doll","My Dream Baby 17"" Beanweighted Doll","My Dream Baby 17"" Beanweighted Doll","My Dream Baby 17"" Beanweighted Doll",Others,Dolls,Gi-go,Gi-go,93905206233,93905206233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80133,"10"" Bathtub Fun","10"" Bathtub Fun","10"" Bathtub Fun","10"" Bathtub Fun",Others,Dolls,Gi-go,Gi-go,93905801339,93905801339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80416,"10"" Water Squirting Doll with Vinyl Pet","10"" Water Squirting Doll with Vinyl Pet","10"" Water Squirting Doll with Vinyl Pet","10"" Water Squirting Doll with Vinyl Pet",Others,Dolls,Gi-go,Gi-go,93905804163,93905804163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SLIPPERS,SLIPPERS,SLIPPERS,SLIPPERS,Others,Dolls,Gi-go,Gi-go,721773680939,721773680939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19228,"12"" baby starter set","12"" baby starter set","12"" baby starter set","12"" baby starter set",Others,Dolls,Gi-go,Gi-go,93905192284,93905192284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20133,"10"" Bathtub Fun","10"" Bathtub Fun","10"" Bathtub Fun","10"" Bathtub Fun",Others,Dolls,Gi-go,Gi-go,93905201337,93905201337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20214,"12"" Baby Medical set","12"" Baby Medical set","12"" Baby Medical set","12"" Baby Medical set",Others,Dolls,Gi-go,Gi-go,93905202143,93905202143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20504,"12"" Girl Hair Play Set","12"" Girl Hair Play Set","12"" Girl Hair Play Set","12"" Girl Hair Play Set",Others,Dolls,Gi-go,Gi-go,93905205045,93905205045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65241,Bathtub Accessories,Bathtub Accessories,Bathtub Accessories,Bathtub Accessories,Others,Dolls,Gi-go,Gi-go,93905652412,93905652412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80145,Styling Head Play Set,Styling Head Play Set,Styling Head Play Set,Styling Head Play Set,Others,Dolls,Gi-go,Gi-go,93905801452,93905801452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80622,"14"" Dream Time Baby","14"" Dream Time Baby","14"" Dream Time Baby","14"" Dream Time Baby",Others,Dolls,Gi-go,Gi-go,93905806228,93905806228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19155,"16"" baby carrier seat","16"" baby carrier seat","16"" baby carrier seat","16"" baby carrier seat",Others,Dolls,Gi-go,Gi-go,93905191553,93905191553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19252,"12"" happy twins","12"" happy twins","12"" happy twins","12"" happy twins",Others,Dolls,Gi-go,Gi-go,93905192529,93905192529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20134,"12"" Baby Doll with Stroller Set","12"" Baby Doll with Stroller Set","12"" Baby Doll with Stroller Set","12"" Baby Doll with Stroller Set",Others,Dolls,Gi-go,Gi-go,93905201344,93905201344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20505,"16"" Best Friends","16"" Best Friends","16"" Best Friends","16"" Best Friends",Others,Dolls,Gi-go,Gi-go,93905205052,93905205052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65246,Diaper Bag with Accessories,Diaper Bag with Accessories,Diaper Bag with Accessories,Diaper Bag with Accessories,Others,Dolls,Gi-go,Gi-go,93905652467,93905652467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80214,"12"" Baby Medical set","12"" Baby Medical set","12"" Baby Medical set","12"" Baby Medical set",Others,Dolls,Gi-go,Gi-go,93905802145,93905802145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19122,"12"" doll in baby walker set","12"" doll in baby walker set","12"" doll in baby walker set","12"" doll in baby walker set",Others,Dolls,Gi-go,Gi-go,93905191225,93905191225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19213,My Dream Baby 16 Inch New Born Baby Doll,My Dream Baby 16 Inch New Born Baby Doll,My Dream Baby 16 Inch New Born Baby Doll,My Dream Baby 16 Inch New Born Baby Doll,Others,Dolls,Gi-go,Gi-go,93905192130,93905192130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20128,"14"" Feeding Fun","14"" Feeding Fun","14"" Feeding Fun","14"" Feeding Fun",Others,Dolls,Gi-go,Gi-go,93905201283,93905201283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20210,"My Dream Baby 13"" Lovely Baby with Pet","My Dream Baby 13"" Lovely Baby with Pet","My Dream Baby 13"" Lovely Baby with Pet","My Dream Baby 13"" Lovely Baby with Pet",Others,Dolls,Gi-go,Gi-go,93905202105,93905202105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20304,"13"" Light up Baby Doll","13"" Light up Baby Doll","13"" Light up Baby Doll","13"" Light up Baby Doll",Others,Dolls,Gi-go,Gi-go,93905203041,93905203041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80134,"12"" Baby Doll with Stroller Set","12"" Baby Doll with Stroller Set","12"" Baby Doll with Stroller Set","12"" Baby Doll with Stroller Set",Others,Dolls,Gi-go,Gi-go,93905801346,93905801346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80504,"12"" Girl Hair Play Set","12"" Girl Hair Play Set","12"" Girl Hair Play Set","12"" Girl Hair Play Set",Others,Dolls,Gi-go,Gi-go,93905805047,93905805047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
