Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,"11"" Soft Cuddly Friends Dixi triceratops, pe","11"" Soft Cuddly Friends Dixi triceratops, pe","11"" Soft Cuddly Friends Dixi triceratops, pe","11"" Soft Cuddly Friends Dixi triceratops, pe",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505087806,4001505087806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"11"" Soft Cuddly Friends Spott stegosaurus","11"" Soft Cuddly Friends Spott stegosaurus","11"" Soft Cuddly Friends Spott stegosaurus","11"" Soft Cuddly Friends Spott stegosaurus",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505087813,4001505087813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gin Snake,Gin Snake,Gin Snake,Gin Snake,,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505095375,4001505095375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"11"" Fynn Teddy Bear, beige","11"" Fynn Teddy Bear, beige","11"" Fynn Teddy Bear, beige","11"" Fynn Teddy Bear, beige",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505111327,4001505111327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8"" Fynn Teddy Bear, beige","8"" Fynn Teddy Bear, beige","8"" Fynn Teddy Bear, beige","8"" Fynn Teddy Bear, beige",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505111372,4001505111372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"31"" Fynn Teddy Bear, beige","31"" Fynn Teddy Bear, beige","31"" Fynn Teddy Bear, beige","31"" Fynn Teddy Bear, beige",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505111389,4001505111389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"11"" Fynn Teddy Bear","11"" Fynn Teddy Bear","11"" Fynn Teddy Bear","11"" Fynn Teddy Bear",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505111471,4001505111471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"11"" Fynn Teddy bear, grey","11"" Fynn Teddy bear, grey","11"" Fynn Teddy bear, grey","11"" Fynn Teddy bear, grey",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505113789,4001505113789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"11"" Bearzy Teddy Bear, grey","11"" Bearzy Teddy Bear, grey","11"" Bearzy Teddy Bear, grey","11"" Bearzy Teddy Bear, grey",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505241543,4001505241543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8"" Floppy Linda Lamb","8"" Floppy Linda Lamb","8"" Floppy Linda Lamb","8"" Floppy Linda Lamb",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505242601,4001505242601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8"" Floppy Hoppel Rabbit","8"" Floppy Hoppel Rabbit","8"" Floppy Hoppel Rabbit","8"" Floppy Hoppel Rabbit",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505242694,4001505242694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"My First Ellie Elefant 9""","My First Ellie Elefant 9""","My First Ellie Elefant 9""","My First Ellie Elefant 9""",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505242717,4001505242717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Parddy snowleopard 55 cream spotted 21""","Parddy snowleopard 55 cream spotted 21""","Parddy snowleopard 55 cream spotted 21""","Parddy snowleopard 55 cream spotted 21""",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505061691,4001505061691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Parddy leopard 14"" spotted beige/brown","Parddy leopard 14"" spotted beige/brown","Parddy leopard 14"" spotted beige/brown","Parddy leopard 14"" spotted beige/brown",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505067518,4001505067518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Teddy b. Bearzy 11"" beige","Teddy b. Bearzy 11"" beige","Teddy b. Bearzy 11"" beige","Teddy b. Bearzy 11"" beige",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505708008,4001505708008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tilda Rabbit 8"" Yellow","Tilda Rabbit 8"" Yellow","Tilda Rabbit 8"" Yellow","Tilda Rabbit 8"" Yellow",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505081071,4001505081071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tilda Rabbit Lillac,Tilda Rabbit Lillac,Tilda Rabbit Lillac,Tilda Rabbit Lillac,,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505081088,4001505081088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Pedro Racoon 9"" brown/white","Pedro Racoon 9"" brown/white","Pedro Racoon 9"" brown/white","Pedro Racoon 9"" brown/white",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505074417,4001505074417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Sanny sloth 14"" dark grey","Sanny sloth 14"" dark grey","Sanny sloth 14"" dark grey","Sanny sloth 14"" dark grey",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505056383,4001505056383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Oskar Dalmatian 11"" Sitting","Oskar Dalmatian 11"" Sitting","Oskar Dalmatian 11"" Sitting","Oskar Dalmatian 11"" Sitting",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505083792,4001505083792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Robby Teddy bear 16"" cream","Robby Teddy bear 16"" cream","Robby Teddy bear 16"" cream","Robby Teddy bear 16"" cream",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505112676,4001505112676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ben Teddy bear beige 22""","Ben Teddy bear beige 22""","Ben Teddy bear beige 22""","Ben Teddy bear beige 22""",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505114045,4001505114045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Spott dinosaur 11"" Ice blue","Spott dinosaur 11"" Ice blue","Spott dinosaur 11"" Ice blue","Spott dinosaur 11"" Ice blue",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505087868,4001505087868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Norbert Rinoceros Grey 10""","Norbert Rinoceros Grey 10""","Norbert Rinoceros Grey 10""","Norbert Rinoceros Grey 10""",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505063671,4001505063671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Elani Baby Orangutan Light Brown,Elani Baby Orangutan Light Brown,Elani Baby Orangutan Light Brown,Elani Baby Orangutan Light Brown,,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505062018,4001505062018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Slo Tortoise 28"" Plush","Slo Tortoise 28"" Plush","Slo Tortoise 28"" Plush","Slo Tortoise 28"" Plush",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505068478,4001505068478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Arco Polar Bear 18""","Arco Polar Bear 18""","Arco Polar Bear 18""","Arco Polar Bear 18""",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505115110,4001505115110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
