Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,9861,"Pom Pom Penguin Large Plush 16""","Pom Pom Penguin Large Plush 16""","Pom Pom Penguin Large Plush 16""","Pom Pom Penguin Large Plush 16""",Others,Stuffed Animals,Aurora,Aurora,92943098619,92943098619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10814,"Miyoni Siamese Cat 8""","Miyoni Siamese Cat 8""","Miyoni Siamese Cat 8""","Miyoni Siamese Cat 8""",Others,Stuffed Animals,Aurora,Aurora,92943108141,92943108141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10839,"Miyoni Medium Yorkie 11""","Miyoni Medium Yorkie 11""","Miyoni Medium Yorkie 11""","Miyoni Medium Yorkie 11""",Others,Stuffed Animals,Aurora,Aurora,92943108394,92943108394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10863,"Brown Miyoni 16.5"" Lion","Brown Miyoni 16.5"" Lion","Brown Miyoni 16.5"" Lion","Brown Miyoni 16.5"" Lion",Others,Stuffed Animals,Aurora,Aurora,92943108639,92943108639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10867,"Miyoni 16.5"" White Tiger","Miyoni 16.5"" White Tiger","Miyoni 16.5"" White Tiger","Miyoni 16.5"" White Tiger",Others,Stuffed Animals,Aurora,Aurora,92943108677,92943108677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10871,16'' Wolf Plush,16'' Wolf Plush,16'' Wolf Plush,16'' Wolf Plush,Others,Stuffed Animals,Aurora,Aurora,92943108714,92943108714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10897,"Miyoni 8"" Pig Plush","Miyoni 8"" Pig Plush","Miyoni 8"" Pig Plush","Miyoni 8"" Pig Plush",Others,Stuffed Animals,Aurora,Aurora,92943108974,92943108974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10904,Pig 11'' Pig Plush Toy,Pig 11'' Pig Plush Toy,Pig 11'' Pig Plush Toy,Pig 11'' Pig Plush Toy,Others,Stuffed Animals,Aurora,Aurora,92943109049,92943109049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10912,"White Rabbit Miyoni 10"" Plush","White Rabbit Miyoni 10"" Plush","White Rabbit Miyoni 10"" Plush","White Rabbit Miyoni 10"" Plush",Others,Stuffed Animals,Aurora,Aurora,92943109124,92943109124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14216,"Molang 10"" Plush","Molang 10"" Plush","Molang 10"" Plush","Molang 10"" Plush",Others,Stuffed Animals,Aurora,Aurora,92943142169,92943142169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
