"product_id","product_name","deep_link","image_url","price","merchant_category","merchant_product_category_path","manufacturer","mpn","product_type"
"8498828280095","Sizzle & Smoke Barbeque Grill™","https://www.step2.com/products/sizzle-smoke-barbeque-grill","https://www.step2.com/cdn/shop/files/489899-001_jpg_1080x1080.jpg?v=1707793008","106.99","Toy Cookware","Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food > Toy Cookware","Step2","","Regular" 
"8498819563807","Pro Play Workshop & Utility Bench™","https://www.step2.com/products/pro-play-workshop-utility-bench","https://www.step2.com/cdn/shop/files/489000_e_1080x1080.jpg?v=1707793002","199.99","Toy Tools","Toys & Games > Toys > Pretend Play > Toy Tools","Step2","","Regular" 
"8498817794335","Play & Shade Pool™","https://www.step2.com/products/play-shade-pool","https://www.step2.com/cdn/shop/files/716099-Play-and-Shade-Pool-001_1080x1080.jpg?v=1707792993","104.99","Water Play Equipment","Toys & Games > Outdoor Play Equipment > Water Play Equipment","Step2","","Regular" 
"8498781683999","Elegant Edge Kitchen™","https://www.step2.com/products/elegant-edge-kitchen","https://www.step2.com/cdn/shop/files/8675KR-Elegant-Edge-Kitchen-001_1080x1080.jpg?v=1707792892","429.99","Toy Kitchens & Play Food","Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food","Step2","","Regular" 
"8498770739487","Big Builders Pro Workshop™","https://www.step2.com/products/big-builders-pro-workshop","https://www.step2.com/cdn/shop/files/489199-Big-Builders-Pro-Play-Workshop-Workbench-001_1080x1080.jpg?v=1707792872","159.99","Pretend Play","Toys & Games > Toys > Pretend Play","Step2","","Regular" 
"8498763432223","2-in-1 Toy Box & Art Lid™","https://www.step2.com/products/2-in-1-toy-box-art-lid","https://www.step2.com/cdn/shop/files/481799-2-In-Toy-Box-and-Art-Lid-Gray-001_ccc1a539-62e2-40de-96ba-13afa30d20b0_1080x1080.jpg?v=1708106334","83.99","Toy Chests","Furniture > Cabinets & Storage > Storage Chests > Toy Chests","Step2","","Regular" 
"8498784502047","Fun With Friends Kitchen™","https://www.step2.com/products/fun-with-friends-kitchen","https://www.step2.com/cdn/shop/files/488500_c_1080x1080.jpg?v=1708107723","139.99","Toy Kitchens & Play Food","Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food","Step2","","Regular" 
"8498771919135","Cascading Cove Sand & Water Table™","https://www.step2.com/products/cascading-cove-sand-water-table","https://www.step2.com/cdn/shop/files/850999-Cascading-Cove-Sand-and-Water-Table-001_1080x1080.jpg?v=1707792874","111.99","Sandboxes","Toys & Games > Outdoor Play Equipment > Sandboxes","Step2","","Regular" 
"8498765955359","All Around Playtime Patio with Canopy™","https://www.step2.com/products/all-around-playtime-patio-with-canopy","https://www.step2.com/cdn/shop/files/874199-All-Around-Playtime-Patio-With-Canopy-001_1080x1080.jpg?v=1707792871","229.99","Playhouses","Toys & Games > Outdoor Play Equipment > Playhouses","Step2","","Regular" 
"8498772443423","Charming Cottage™","https://www.step2.com/products/charming-cottage","https://www.step2.com/cdn/shop/files/867400-Charming-Cottage-Playhouse-001_3f5e8062-d727-4e4a-87b5-d107fce11d84_1080x1080.jpg?v=1707792871","599.99","Playhouses","Toys & Games > Outdoor Play Equipment > Playhouses","Step2","","Regular" 
"8498832179487","Summer Showers Splash Tower Water Table™","https://www.step2.com/products/summer-showers-splash-tower-water-table-00","https://www.step2.com/cdn/shop/files/897400_z_1080x1080.jpg?v=1707793021","79.99","Water Tables","Toys & Games > Outdoor Play Equipment > Water Play Equipment > Water Tables","Step2","","Regular" 
"8499480985887","Flip Seat™","https://www.step2.com/products/flip-seat","https://www.step2.com/cdn/shop/files/537400_p_1_1080x1080.jpg?v=1714652523","59.99","Camp Furniture","Sporting Goods > Outdoor Recreation > Camping & Hiking > Camp Furniture","Step2","","Regular" 
"8498816024863","Panda Climber™","https://www.step2.com/products/panda-climber","https://www.step2.com/cdn/shop/files/815900_c_1080x1080.jpg?v=1707792990","169.99","Play Swings","Toys & Games > Outdoor Play Equipment > Play Swings","Step2","","Regular" 
"8498840797471","Waterfall Discovery Wall™","https://www.step2.com/products/waterfall-discovery-wall","https://www.step2.com/cdn/shop/files/862199-Waterfall-Discovery-Wall-001_1080x1080.jpg?v=1707793039","74.99","Water Play Equipment","Toys & Games > Outdoor Play Equipment > Water Play Equipment","Step2","","Regular" 
"8498771656991","Car Wash Splash Center™","https://www.step2.com/products/car-wash-splash-center","https://www.step2.com/cdn/shop/files/490899-Car-Wash-Splash-Center-Water-Table-001_1080x1080.jpg?v=1707792869","161.99","Water Tables","Toys & Games > Outdoor Play Equipment > Water Play Equipment > Water Tables","Step2","","Regular" 
"8499399655711","101 PC Play Food Assortment","https://www.step2.com/products/play-food-assortment","https://www.step2.com/cdn/shop/files/896699-play-food-001_1080x1080.jpg?v=1707795081","43.99","Toy Kitchens","Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food > Toy Kitchens","Step2","","Regular" 
"8498808586527","Naturally Playful™ Playhouse Climber & Swing Extension","https://www.step2.com/products/naturally-playful-playhouse-climber-swing-extension","https://www.step2.com/cdn/shop/files/754300_16_1080x1080.jpg?v=1707792961","899.99","Swing Sets & Playsets","Toys & Games > Outdoor Play Equipment > Swing Sets & Playsets","Step2","","Regular" 
"8498804293919","Modern Metro Kitchen™","https://www.step2.com/products/modern-metro-kitchen","https://www.step2.com/cdn/shop/files/879799-modern-metro-kitchen-001_1080x1080.jpg?v=1707792953","229.99","Toy Kitchens & Play Food","Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food","Step2","","Regular" 
"8498835587359","Turbocharged Twin Truck Bed™ with Storage","https://www.step2.com/products/turbocharged-twin-truck-bed","https://www.step2.com/cdn/shop/files/4830KR-Turbocharged-Twin-Truck-Bed-001_1080x1080.jpg?v=1707793032","389.99","Beds & Bed Frames","Furniture > Beds & Accessories > Beds & Bed Frames","Step2","","Regular" 
"8498818547999","Play Ball Fun Climber™","https://www.step2.com/products/play-ball-fun-climber","https://www.step2.com/cdn/shop/files/841900_g_1080x1080.jpg?v=1707792993","149.99","Swing Sets & Playsets","Toys & Games > Outdoor Play Equipment > Swing Sets & Playsets","Step2","","Regular" 
"8498778669343","Dino Dig Sand & Water Table™","https://www.step2.com/products/dino-dig-sand-water-table","https://www.step2.com/cdn/shop/files/874599-001_1080x1080.jpg?v=1707792894","94.99","Water Play Equipment","Toys & Games > Outdoor Play Equipment > Water Play Equipment","Step2","","Regular" 
"8498812420383","Neat & Tidy Cottage Homestyle Edition™","https://www.step2.com/products/neat-tidy-cottage-homestyle-edition-gray","https://www.step2.com/cdn/shop/files/4130KR-Neat-Tidy-Cottage-Homestyle-Edition-Gray-001_1080x1080.jpg?v=1707795692","269.99","Playhouses","Toys & Games > Outdoor Play Equipment > Playhouses","Step2","","Regular" 
"8498788794655","Great Creations Art Center™","https://www.step2.com/products/great-creations-art-center","https://www.step2.com/cdn/shop/files/869899-Great-Creations-Art-Center-001_1080x1080.jpg?v=1707792914","149.99","Art & Drawing Toys","Toys & Games > Toys > Art & Drawing Toys","Step2","","Regular" 
"10224541139231","Giant 6ft Paintable Nutcracker Prince","https://www.step2.com/products/nutcracker-prince","https://www.step2.com/cdn/shop/files/5490_G_4_8f2da2c3-b5a7-46d3-943e-e76df5d45eea_1080x1080.jpg?v=1755624772","149.99","Seasonal & Holiday Decorations","Home & Garden > Decor > Seasonal & Holiday Decorations","Step2","","Regular" 
"8498782306591","Extreme Coaster™","https://www.step2.com/products/extreme-coaster","https://www.step2.com/cdn/shop/files/8516KR-Extreme-Coaster-Gray-And-Blue-001_1080x1080.jpg?v=1707792894","419.99","Riding Toys","Toys & Games > Toys > Riding Toys","Step2","","Regular" 
"8498809962783","Naturally Playful™ Sandbox™","https://www.step2.com/products/naturally-playful-sandbox","https://www.step2.com/cdn/shop/files/7220KR-Naturally-Playful-Sandbox-With-Lid-Original-001_1080x1080.jpg?v=1707792968","119.99","Sandboxes","Toys & Games > Outdoor Play Equipment > Sandboxes","Step2","","Regular" 
"8498843746591","WonderBall Fun House™","https://www.step2.com/products/wonderball-fun-house","https://www.step2.com/cdn/shop/files/8539_MAIN_1_1080x1080.jpg?v=1729000934","179.99","Playhouses","Toys & Games > Outdoor Play Equipment > Playhouses","Step2","","Regular" 
"8498765136159","All Around Easel for Two™","https://www.step2.com/products/all-around-easel-for-two-red","https://www.step2.com/cdn/shop/files/826899-All-Around-Kids-Art-Easel-For-Two-Red-001_1080x1080.jpg?v=1707795689","61.99","Easel & Art Desks","Toys & Games > Toys > Art & Drawing Toys > Easel & Art Desks","Step2","","Regular" 
"8498770247967","Best Chef's Kitchen™","https://www.step2.com/products/best-chef-s-kitchen","https://www.step2.com/cdn/shop/files/854899-Best-Chefs-Play-Kitchen-Black-Ii-001_1080x1080.jpg?v=1707792872","109.99","Toy Kitchens & Play Food","Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food","Step2","","Regular" 
