Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,3103-BY,Sport Pogo Stick Black and Yellow,Sport Pogo Stick Black and Yellow,Sport Pogo Stick Black and Yellow,Sport Pogo Stick Black and Yellow,Others,Sports & Active Play,NEW BOUNCE,,86138106630,86138106630,,,,,,,,,,,,,,,,,,,37.5,9.5,2,,7,,,,,,,,,,,,,,,,,,
,3103-P,Sport Pogo Stick Pink,Sport Pogo Stick Pink,Sport Pogo Stick Pink,Sport Pogo Stick Pink,Others,Sports & Active Play,NEW BOUNCE,,86138107361,86138107361,,,,,,,,,,,,,,,,,,,37.5,9.5,2,,7,,,,,,,,,,,,,,,,,,
,3104-BC,Pro Sport Pogo Stick Black and Charcoal,Pro Sport Pogo Stick Black and Charcoal,Pro Sport Pogo Stick Black and Charcoal,Pro Sport Pogo Stick Black and Charcoal,Others,Sports & Active Play,NEW BOUNCE,,86138107224,86138107224,,,,,,,,,,,,,,,,,,,42,13.5,2,,8,,,,,,,,,,,,,,,,,,
,3104-BG,Pro Sport Pogo Stick Black and Green,Pro Sport Pogo Stick Black and Green,Pro Sport Pogo Stick Black and Green,Pro Sport Pogo Stick Black and Green,Others,Sports & Active Play,NEW BOUNCE,,86138106661,86138106661,,,,,,,,,,,,,,,,,,,42,13.5,2,,8,,,,,,,,,,,,,,,,,,
,3104-BGR,Pro Sport Pogo Stick Blue and Grey,Pro Sport Pogo Stick Blue and Grey,Pro Sport Pogo Stick Blue and Grey,Pro Sport Pogo Stick Blue and Grey,Others,Sports & Active Play,NEW BOUNCE,,86138107231,86138107231,,,,,,,,,,,,,,,,,,,42,13.5,2,,8,,,,,,,,,,,,,,,,,,
,3104-BR,Pro Sport Pogo Stick Black and Red,Pro Sport Pogo Stick Black and Red,Pro Sport Pogo Stick Black and Red,Pro Sport Pogo Stick Black and Red,Others,Sports & Active Play,NEW BOUNCE,,86138107248,86138107248,,,,,,,,,,,,,,,,,,,42,13.5,2,,8,,,,,,,,,,,,,,,,,,
,3104-BRD,Pro Sport Pogo Stick Blue and Red,Pro Sport Pogo Stick Blue and Red,Pro Sport Pogo Stick Blue and Red,Pro Sport Pogo Stick Blue and Red,Others,Sports & Active Play,NEW BOUNCE,,86138107255,86138107255,,,,,,,,,,,,,,,,,,,42,13.5,2,,8,,,,,,,,,,,,,,,,,,
,3104-BY,Pro Sport Pogo Stick Black and Yellow,Pro Sport Pogo Stick Black and Yellow,Pro Sport Pogo Stick Black and Yellow,Pro Sport Pogo Stick Black and Yellow,Others,Sports & Active Play,NEW BOUNCE,,86138106647,86138106647,,,,,,,,,,,,,,,,,,,42,13.5,2,,8,,,,,,,,,,,,,,,,,,
,3104-P,Pro Sport Pogo Stick Pink,Pro Sport Pogo Stick Pink,Pro Sport Pogo Stick Pink,Pro Sport Pogo Stick Pink,Others,Sports & Active Play,NEW BOUNCE,,786138803859,786138803859,,,,,,,,,,,,,,,,,,,42,13.5,2,,8,,,,,,,,,,,,,,,,,,
,3118-B,My First Pogo Stick - Foam Pogo Jumper - Blue,My First Pogo Stick - Foam Pogo Jumper - Blue,My First Pogo Stick - Foam Pogo Jumper - Blue,My First Pogo Stick - Foam Pogo Jumper - Blue,Others,Sports & Active Play,NEW BOUNCE,,86138107156,86138107156,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,
