Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Quercetti,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,MIGIGA RUN OCEAN,MIGIGA RUN OCEAN,MIGIGA RUN OCEAN,MIGIGA RUN OCEAN,,,,Quercetti,Quercetti,8007905065662,8007905065662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magnetic Fashion - Laura,Magnetic Fashion - Laura,Magnetic Fashion - Laura,Magnetic Fashion - Laura,,,,Quercetti,Quercetti,8007905029268,8007905029268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ABC MAGNETIC LETTERS,ABC MAGNETIC LETTERS,ABC MAGNETIC LETTERS,ABC MAGNETIC LETTERS,,,,Quercetti,Quercetti,8007905054611,8007905054611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MAGNETIC DRESS UP - Carnival,MAGNETIC DRESS UP - Carnival,MAGNETIC DRESS UP - Carnival,MAGNETIC DRESS UP - Carnival,,,,Quercetti,Quercetti,8007905044216,8007905044216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Migoga Race,Migoga Race,Migoga Race,Migoga Race,,,,Quercetti,Quercetti,8007905065600,8007905065600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pixel Art Basic - Panda,Pixel Art Basic - Panda,Pixel Art Basic - Panda,Pixel Art Basic - Panda,,,,Quercetti,Quercetti,8007905007686,8007905007686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti - Battleship,Quercetti - Battleship,Quercetti - Battleship,Quercetti - Battleship,,,,Quercetti,Quercetti,8007905010037,8007905010037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti-Georello Farm 3D Creations,Quercetti-Georello Farm 3D Creations,Quercetti-Georello Farm 3D Creations,Quercetti-Georello Farm 3D Creations,,,,Quercetti,Quercetti,8007905023341,8007905023341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti Tap Tap Set,Quercetti Tap Tap Set,Quercetti Tap Tap Set,Quercetti Tap Tap Set,,,,Quercetti,Quercetti,8007905028612,8007905028612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti - Combi ABC 123 - 2 in 1 Learning set 110pc,Quercetti - Combi ABC 123 - 2 in 1 Learning set 110pc,Quercetti - Combi ABC 123 - 2 in 1 Learning set 110pc,Quercetti - Combi ABC 123 - 2 in 1 Learning set 110pc,,,,Quercetti,Quercetti,8007905052853,8007905052853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti - Skyrail Marble Run League Track 166pc,Quercetti - Skyrail Marble Run League Track 166pc,Quercetti - Skyrail Marble Run League Track 166pc,Quercetti - Skyrail Marble Run League Track 166pc,,,,Quercetti,Quercetti,8007905066058,8007905066058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti - Fantacolor Eco 310 pieces,Quercetti - Fantacolor Eco 310 pieces,Quercetti - Fantacolor Eco 310 pieces,Quercetti - Fantacolor Eco 310 pieces,,,,Quercetti,Quercetti,8007905809341,8007905809341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti - Fantacolor Junior Linea Play Eco 58pc Set,Quercetti - Fantacolor Junior Linea Play Eco 58pc Set,Quercetti - Fantacolor Junior Linea Play Eco 58pc Set,Quercetti - Fantacolor Junior Linea Play Eco 58pc Set,,,,Quercetti,Quercetti,8007905841907,8007905841907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti - Tecno Jumbo Creator Play Bio 45pc Set,Quercetti - Tecno Jumbo Creator Play Bio 45pc Set,Quercetti - Tecno Jumbo Creator Play Bio 45pc Set,Quercetti - Tecno Jumbo Creator Play Bio 45pc Set,,,,Quercetti,,8007905861653,8007905861653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
