Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,MMD021,Micro Maxi Deluxe Scooter- Pink,Micro Maxi Deluxe Scooter- Pink,Micro Maxi Deluxe Scooter- Pink,Micro Maxi Deluxe Scooter- Pink,Others,Ride-On & Bikes,Micro,Micro,7640108560735,7640108560735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MMD055,Mini Deluxe Ice Blue,Mini Deluxe Ice Blue,Mini Deluxe Ice Blue,Mini Deluxe Ice Blue,Others,Ride-On & Bikes,Micro,Micro,7640170574289,7640170574289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MMD003,Micro Mini Deluxe Scooter- pink,Micro Mini Deluxe Scooter- pink,Micro Mini Deluxe Scooter- pink,Micro Mini Deluxe Scooter- pink,Others,Ride-On & Bikes,Micro,Micro,7640108560308,7640108560308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MMD122,Micro Scooters Maxi Deluxe Eco Scooter - Green,Micro Scooters Maxi Deluxe Eco Scooter - Green,Micro Scooters Maxi Deluxe Eco Scooter - Green,Micro Scooters Maxi Deluxe Eco Scooter - Green,Others,Ride-On & Bikes,Micro,Micro,7630053532475,7630053532475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP0002,Micro Scooters Ride on Air Hopper - Blue,Micro Scooters Ride on Air Hopper - Blue,Micro Scooters Ride on Air Hopper - Blue,Micro Scooters Ride on Air Hopper - Blue,Others,Ride-On & Bikes,Micro,Micro,7630053542016,7630053542016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP0003,Micro Air Hopper - Pink,Micro Air Hopper - Pink,Micro Air Hopper - Pink,Micro Air Hopper - Pink,Others,Ride-On & Bikes,Micro,Micro,7630053542030,7630053542030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MMD006,Micro Mini Deluxe Scooter - Blue,Micro Mini Deluxe Scooter - Blue,Micro Mini Deluxe Scooter - Blue,Micro Mini Deluxe Scooter - Blue,Others,Ride-On & Bikes,Micro,Micro,7640108560339,7640108560339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MMD023,Micro Maxi Deluxe - Blue,Micro Maxi Deluxe - Blue,Micro Maxi Deluxe - Blue,Micro Maxi Deluxe - Blue,Others,Ride-On & Bikes,Micro,Micro,7640108560759,7640108560759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MMD046,Micro Mini Deluxe Blue Ocean,Micro Mini Deluxe Blue Ocean,Micro Mini Deluxe Blue Ocean,Micro Mini Deluxe Blue Ocean,Others,Ride-On & Bikes,Micro,Micro,7640170572940,7640170572940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
