Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,NEW YORK 18 INCH DOLL CLOTHING SET,NEW YORK 18 INCH DOLL CLOTHING SET,NEW YORK 18 INCH DOLL CLOTHING SET,NEW YORK 18 INCH DOLL CLOTHING SET,Others,Dolls,"18"" Dolls & Accessories",NEW YORK DOLL,NEW YORK DOLL,850021560034,850021560034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2343,Reborn Doll 18 inch Charlotte,Reborn Doll 18 inch Charlotte,Reborn Doll 18 inch Charlotte,Reborn Doll 18 inch Charlotte,Others,Dolls,"18"" Dolls & Accessories",NEW YORK DOLL,NEW YORK DOLL,786138712489,786138712489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL ALARM CLOCK,DOLL ALARM CLOCK,DOLL ALARM CLOCK,DOLL ALARM CLOCK,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262571,687077262571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TIGHTS,TIGHTS,TIGHTS,TIGHTS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262939,687077262939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL SHIRT,DOLL SHIRT,DOLL SHIRT,DOLL SHIRT,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077263714,687077263714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NYDC DOLL HAIR ACCESSORIES,NYDC DOLL HAIR ACCESSORIES,NYDC DOLL HAIR ACCESSORIES,NYDC DOLL HAIR ACCESSORIES,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262311,687077262311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G111,MY DOLL CARRY CASE,MY DOLL CARRY CASE,MY DOLL CARRY CASE,MY DOLL CARRY CASE,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077263622,687077263622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D260-R,NYD COLLECTION SANDALS,NYD COLLECTION SANDALS,NYD COLLECTION SANDALS,NYD COLLECTION SANDALS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264018,687077264018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BRUSH,BRUSH,BRUSH,BRUSH,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077261017,687077261017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DRESS,DRESS,DRESS,DRESS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077261536,687077261536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
